time,ray_count
1e-10,100
2e-10,100
3e-10,100
4e-10,100
5e-10,100
6e-10,100
7e-10,100
8e-10,100
9e-10,100
1e-09,100
1.1e-09,100
1.2e-09,100
1.3e-09,100
1.4e-09,100
1.5e-09,100
1.6e-09,100
1.7e-09,100
1.8e-09,100
1.9e-09,100
2e-09,100
2.1e-09,100
2.2e-09,100
2.3e-09,100
2.4e-09,100
2.5e-09,100
2.6e-09,100
2.7e-09,100
2.8e-09,100
2.9e-09,100
3e-09,100
3.1e-09,100
3.2e-09,100
3.3e-09,100
3.4e-09,100
3.5e-09,100
3.6e-09,100
3.7e-09,100
3.8e-09,100
3.9e-09,100
4e-09,100
4.1e-09,100
4.2e-09,100
4.3e-09,100
4.4e-09,100
4.5e-09,100
4.6e-09,100
4.7e-09,100
4.8e-09,100
4.9e-09,100
5e-09,100
5.1e-09,100
5.2e-09,100
5.3e-09,100
5.4e-09,100
5.5e-09,100
5.6e-09,100
5.7e-09,100
5.8e-09,100
5.9e-09,100
6e-09,100
6.1e-09,100
6.2e-09,100
6.3e-09,100
6.4e-09,100
6.5e-09,100
6.6e-09,100
6.7e-09,100
6.8e-09,100
6.9e-09,100
7e-09,98
7.1e-09,98
7.2e-09,98
7.3e-09,98
7.4e-09,98
7.5e-09,98
7.6e-09,98
7.7e-09,98
7.8e-09,98
7.9e-09,98
8e-09,98
8.1e-09,98
8.2e-09,98
8.3e-09,98
8.4e-09,98
8.5e-09,98
8.6e-09,98
8.7e-09,98
8.8e-09,98
8.9e-09,98
9e-09,98
9.1e-09,98
9.2e-09,98
9.3e-09,98
9.4e-09,98
9.5e-09,98
9.6e-09,98
9.7e-09,98
9.8e-09,98
9.9e-09,98
1e-08,98
1.01e-08,98
1.02e-08,98
1.03e-08,98
1.04e-08,98
1.05e-08,98
1.06e-08,98
1.07e-08,98
1.08e-08,98
1.09e-08,98
1.1e-08,98
1.11e-08,98
1.12e-08,98
1.13e-08,98
1.14e-08,98
1.15e-08,98
1.16e-08,98
1.17e-08,98
1.18e-08,98
1.19e-08,98
1.2e-08,98
1.21e-08,96
1.22e-08,96
1.23e-08,96
1.24e-08,96
1.25e-08,96
1.26e-08,96
1.27e-08,96
1.28e-08,96
1.29e-08,96
1.3e-08,96
1.31e-08,96
1.32e-08,96
1.33e-08,96
1.34e-08,96
1.35e-08,96
1.36e-08,96
1.37e-08,96
1.38e-08,96
1.39e-08,96
1.4e-08,96
1.41e-08,96
1.42e-08,96
1.43e-08,96
1.44e-08,96
1.45e-08,96
1.46e-08,96
1.47e-08,96
1.48e-08,96
1.49e-08,96
1.5e-08,96
1.51e-08,96
1.52e-08,96
1.53e-08,96
1.54e-08,96
1.55e-08,96
1.56e-08,96
1.57e-08,94
1.58e-08,94
1.59e-08,94
1.6e-08,94
1.61e-08,94
1.62e-08,94
1.63e-08,94
1.64e-08,94
1.65e-08,94
1.66e-08,94
1.67e-08,94
1.68e-08,94
1.69e-08,94
1.7e-08,94
1.71e-08,94
1.72e-08,94
1.73e-08,94
1.74e-08,94
1.75e-08,94
1.76e-08,94
1.77e-08,94
1.78e-08,94
1.79e-08,94
1.8e-08,94
1.81e-08,94
1.82e-08,94
1.83e-08,94
1.84e-08,94
1.85e-08,94
1.86e-08,94
1.87e-08,92
1.88e-08,92
1.89e-08,92
1.9e-08,92
1.91e-08,92
1.92e-08,92
1.93e-08,92
1.94e-08,92
1.95e-08,92
1.96e-08,92
1.97e-08,92
1.98e-08,92
1.99e-08,92
2e-08,92
2.01e-08,92
2.02e-08,92
2.03e-08,92
2.04e-08,92
2.05e-08,92
2.06e-08,92
2.07e-08,92
2.08e-08,92
2.09e-08,92
2.1e-08,92
2.11e-08,92
2.12e-08,92
2.13e-08,92
2.14e-08,90
2.15e-08,90
2.16e-08,90
2.17e-08,90
2.18e-08,90
2.19e-08,90
2.2e-08,90
2.21e-08,90
2.22e-08,90
2.23e-08,90
2.24e-08,90
2.25e-08,90
2.26e-08,90
2.27e-08,90
2.28e-08,90
2.29e-08,90
2.3e-08,90
2.31e-08,90
2.32e-08,90
2.33e-08,90
2.34e-08,90
2.35e-08,90
2.36e-08,90
2.37e-08,90
2.38e-08,90
2.39e-08,90
2.4e-08,88
2.41e-08,88
2.42e-08,88
2.43e-08,88
2.44e-08,88
2.45e-08,88
2.46e-08,88
2.47e-08,88
2.48e-08,88
2.49e-08,88
2.5e-08,88
2.51e-08,88
2.52e-08,88
2.53e-08,88
2.54e-08,88
2.55e-08,88
2.56e-08,88
2.57e-08,88
2.58e-08,88
2.59e-08,88
2.6e-08,88
