id,phi,x,y,z
0,0,0,0,0
0.001,8960.3194167774,0.001,0,0
0.002,17739.622279681,0.002,0,0
0.003,26337.908588709,0.003,0,0
0.004,34755.178343864,0.004,0,0
0.005,42991.431545144,0.005,0,0
0.006,51046.66819255,0.006,0,0
0.007,58920.888286082,0.007,0,0
0.008,66614.091825739,0.008,0,0
0.009,74126.278811523,0.009,0,0
0.01,81457.449243431,0.01,0,0
0.011,88607.603121466,0.011,0,0
0.012,95576.740445626,0.012,0,0
0.013,102364.86121591,0.013,0,0
0.014,108971.96543232,0.014,0,0
0.015,115398.05309486,0.015,0,0
0.016,121643.12420352,0.016,0,0
0.017,127707.17875831,0.017,0,0
0.018,133590.21675923,0.018,0,0
0.019,139292.23820627,0.019,0,0
0.02,144813.24309943,0.02,0,0
0.021,150153.23143873,0.021,0,0
0.022,155312.20322414,0.022,0,0
0.023,160290.15845569,0.023,0,0
0.024,165087.09713335,0.024,0,0
0.025,169703.01925715,0.025,0,0
0.026,174137.92482707,0.026,0,0
0.027,178391.81384311,0.027,0,0
0.028,182464.68630529,0.028,0,0
0.029,186356.54221358,0.029,0,0
0.03,190067.38156801,0.03,0,0
0.031,193597.20436856,0.031,0,0
0.032,196946.01061523,0.032,0,0
0.033,200113.80030803,0.033,0,0
0.034,203100.57344696,0.034,0,0
0.035,205906.33003201,0.035,0,0
0.036,208531.07006318,0.036,0,0
0.037,210974.79354049,0.037,0,0
0.038,213237.50046392,0.038,0,0
0.039,215319.19083347,0.039,0,0
0.04,217219.86464915,0.04,0,0
0.041,218939.52191096,0.041,0,0
0.042,220478.16261889,0.042,0,0
0.043,221835.78677294,0.043,0,0
0.044,223012.39437313,0.044,0,0
0.045,224007.98541944,0.045,0,0
0.046,224822.55991187,0.046,0,0
0.047,225456.11785043,0.047,0,0
0.048,225908.65923512,0.048,0,0
0.049,226180.18406593,0.049,0,0
0.05,226270.69234286,0.05,0,0
0.051,226180.18406593,0.051,0,0
0.052,225908.65923512,0.052,0,0
0.053,225456.11785043,0.053,0,0
0.054,224822.55991187,0.054,0,0
0.055,224007.98541944,0.055,0,0
0.056,223012.39437313,0.056,0,0
0.057,221835.78677294,0.057,0,0
0.058,220478.16261889,0.058,0,0
0.059,218939.52191096,0.059,0,0
0.06,217219.86464915,0.06,0,0
0.061,215319.19083347,0.061,0,0
0.062,213237.50046392,0.062,0,0
0.063,210974.79354049,0.063,0,0
0.064,208531.07006318,0.064,0,0
0.065,205906.33003201,0.065,0,0
0.066,203100.57344696,0.066,0,0
0.067,200113.80030803,0.067,0,0
0.068,196946.01061523,0.068,0,0
0.069,193597.20436856,0.069,0,0
0.07,190067.38156801,0.07,0,0
0.071,186356.54221358,0.071,0,0
0.072,182464.68630529,0.072,0,0
0.073,178391.81384311,0.073,0,0
0.074,174137.92482707,0.074,0,0
0.075,169703.01925715,0.075,0,0
0.076,165087.09713335,0.076,0,0
0.077,160290.15845569,0.077,0,0
0.078,155312.20322414,0.078,0,0
0.079,150153.23143873,0.079,0,0
0.08,144813.24309943,0.08,0,0
0.081,139292.23820627,0.081,0,0
0.082,133590.21675923,0.082,0,0
0.083,127707.17875831,0.083,0,0
0.084,121643.12420352,0.084,0,0
0.085,115398.05309486,0.085,0,0
0.086,108971.96543232,0.086,0,0
0.087,102364.86121591,0.087,0,0
0.088,95576.740445626,0.088,0,0
0.089,88607.603121466,0.089,0,0
0.09,81457.449243431,0.09,0,0
0.091,74126.278811522,0.091,0,0
0.092,66614.091825739,0.092,0,0
0.093,58920.888286082,0.093,0,0
0.094,51046.66819255,0.094,0,0
0.095,42991.431545144,0.095,0,0
0.096,34755.178343864,0.096,0,0
0.097,26337.908588709,0.097,0,0
0.098,17739.622279681,0.098,0,0
0.099,8960.3194167775,0.099,0,0
0.1,0,0.1,0,0
